엠아이유 세상편한 여성용 허리 밴딩팬츠 ~3XL 빅사이즈 키작녀 키큰녀 슬랙스 정장바지 오피스룩 프리밴딩팬츠,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f884/d5c036635dc553e4e78e9738db990311be3fb4a5d61a9aadf1a9a9f5a27f.jpg,29000,['S(55)'],"['사용계절: 봄/여름/가을', '팬츠 핏: 스트레이트/일자핏', '소재: 폴리에스터/나일론', '신축성 유무: 신축성 있음', '색상계열: 블랙계열', '쿠팡상품번호: 1833095812 - 3117561305']"
캐럿 여성용 니트 스웨터 와이드 밴딩 팬츠,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/707937067816977-36444680-5b80-4e1a-b34b-c76d27769c99.jpg,22000,['ONE'],"['색상계열: 브라운계열', '쿠팡상품번호: 2250704590 - 3847479625']"
잘빠진 여성용 빅사이즈 매직스판 밴딩 슬랙스 1701,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9444101550494-3b5cc676-0016-45a6-a317-68be88c5b45d.jpg,9000,['XXL'],"['하의 사이즈: 여성 XXL (33~34인치)', '색상계열: 네이비계열', '신축성 유무: 신축성 있음', '소재: 폴리에스터/나일론', '팬츠 핏: 슬림핏', '쿠팡상품번호: 252285323 - 797048602']"
캐럿 여성용 융털 기모 팬츠,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/99595467308088-787e622f-5044-4500-8f1f-5d2611de8075.jpg,8000,['S-M'],"['소재: 폴리에스터/나일론', '색상계열: 블랙계열', '하의 사이즈: 여성 S', '쿠팡상품번호: 2123426195 - 3603294621']"
오지다 여성용 징포인트 스판 면 팬츠,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f626/0c6990ec35dc39ffd44547a69137b4847db26876ae9831e5706aa6026909.jpg,10000,['XL'],"['신축성 유무: 신축성 좋음', '색상계열: 블랙계열', '하의 사이즈: 여성 XL (31~32인치)', '팬츠 핏: 스키니핏', '소재: 스판덱스4%, 나일론21%, 면75%', '쿠팡상품번호: 1248959498 - 2247347762']"
엔비룩 여성용 세상편한 슬림 슬랙스,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/09/23/10/8/2d49575f-68e4-4ac7-b219-e32bd68a2bb0.jpg,16000,['M'],"['하의 사이즈: 여성 M', '색상계열: 블랙계열', '팬츠 핏: 스트레이트/일자핏', '쿠팡상품번호: 306187750 - 965403989']"
달리샵 더모찌슬랙스 ~2XL까지! 키작녀 키큰녀 버전 부츠컷 스판 허리밴딩 빅사이즈 여성의류,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e4d9/fffd774ffb73211e8a9592e4fcf9051b6f6dd40f1305396119adb2ebdb95.jpg,28000,['L'],['쿠팡상품번호: 4923151163 - 6454293348']
캐럿 여성 스트레이트핏 스판 슬랙스,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/269060132673844-69c910ac-7490-45c0-ba1b-443a2400f2d7.jpg,17000,['S(44)'],"['색상계열: 블랙계열', '하의 사이즈: 여성 S', '쿠팡상품번호: 1592154641 - 2720454978']"
오키진 여성용 스판폭발 부츠컷 청바지,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/98720847115750-5f70bc6e-b313-448e-9c94-071dfa2ddfa0.jpg,19000,['L'],"['하의 사이즈: 여성 L (29~30인치)', '색상계열: 블루계열', '팬츠 핏: 부츠컷핏', '신축성 유무: 신축성 있음', '디테일: 워싱', '쿠팡상품번호: 243079487 - 771714526']"
캐럿 여성 와이드 밴딩 팬츠,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/86815902988186-18c5ec56-8775-4476-ae6f-d1bae7e2dcc5.jpg,9000,['ONE'],"['하의 사이즈: 여성 FREE (one size)', '색상계열: 블랙계열', '소재: 폴리에스터/나일론', '팬츠 핏: 와이드핏', '쿠팡상품번호: 1583623796 - 2707042726']"
여성용 너무 편한 스판 밴딩 와이드 쿨팬츠,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3ecc/f143323d70943fdeacbe496319e845a1f40cc71bc664abc2b22e734d302a.jpg,8000,['S-M'],"['색상계열: 블랙계열', '하의 사이즈: 여성 S (25~26인치)', '사용계절: 여름용', '쿠팡상품번호: 1516042831 - 2601910581']"
메리바움 [1+1특가] 108645 소프트 코튼 배기 밴딩 팬츠 여성 배기 바지,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/78b8/819fd3d445a319deeee6b60a684210dcc5d2c1241369aa770dc85e7895fc.jpg,29000,['ONE'],"['색상계열: 멀티(혼합)컬러', '하의 사이즈: 여성 FREE (one size)', '쿠팡상품번호: 5196039186 - 7227678044']"
가비진 여성용 롱기장 부츠컷 밴딩팬츠,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/242672869945582-4616fb5c-66b2-4b2e-b492-b31c587a7d11.jpg,12000,['L-XL(77~88)'],"['하의 사이즈: 여성 L-XL', '색상계열: 블랙계열', '신축성 유무: 신축성 없음', '소재: 기타 합성 섬유', '팬츠 핏: 부츠컷핏', '쿠팡상품번호: 1715911222 - 2920650174']"
캐럿 여성용 데일리 크롭 밴딩 팬츠,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/353521534173283-bc8480d9-5746-4bd4-9314-8a72987e773b.jpg,12000,['77'],"['소재: 폴리에스터/나일론', '쿠팡상품번호: 2118784688 - 3597263513']"
여성 데미지 스판 밴딩 배기팬츠 5XL 빅사이즈 청바지 데님,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0a0c/f9db70b71b681fee05eff2fcfe57fd4d82ad2f1f5b7723c7aa729db7529d.png,19000,['XL'],"['색상계열: 블루계열', '쿠팡상품번호: 289203462 - 915571564']"
잘빠진 여성용 롱기장 밴드 일자 팬츠,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/249880054530343-806c857d-ebd4-4b21-b02c-8baba8b31caf.jpg,10000,['F(44-66)'],"['신축성 유무: 신축성 있음', '팬츠 핏: 스트레이트/일자핏', '소재: 면혼방', '색상계열: 블랙계열', '하의 사이즈: 여성 S (25~26인치)', '쿠팡상품번호: 191693869 - 548186579']"
플레이팝 여성용 스판좋은 슬림배기 청바지,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/07/12/14/8/0e54feab-fcfb-421e-8e11-f7aca1c2ce58.jpg,19000,['L'],"['하의 사이즈: 여성 L (29~30인치)', '색상계열: 블루계열', '팬츠 핏: 배기핏', '신축성 유무: 신축성 있음', '디테일: 워싱', '쿠팡상품번호: 258699498 - 810974692']"
예담 완전편한 스판 봄 간절기 기본 베이직 슬림일자 밴딩 데일리 면바지 사이즈3가지 77사이즈모델,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4eee/6d31842374c6be5888b6dd8e3c7528b30c41ba1d337993793820d6a0ec15.jpg,26000,['S'],"['제조년도: 21년', '사용계절: 봄/가을용', '팬츠 핏: 슬림핏', '소재: 면혼방', '신축성 유무: 신축성 있음', '쿠팡상품번호: 5003625667 - 6690576190']"
애니진 여성용 봄가을 부츠컷 세미나팔 바지 핀턱 밴딩팬츠 NO114,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2019/02/14/18/6/d591ca6a-504a-4707-8329-c2077cbcc6e7.jpg,13000,['66(=27.28)'],"['신축성 유무: 신축성 있음', '팬츠 핏: 부츠컷핏', '색상계열: 블랙계열', '하의 사이즈: 여성 M (27~28인치)', '쿠팡상품번호: 185960345 - 531818556']"
캐럿 여성 핀턱 와이드 팬츠,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1300915077647238-8243e331-0fc9-4b92-8e1e-e7640ebe1cea.jpg,19000,['S-M'],"['소재: 폴리에스터/나일론', '색상계열: 브라운계열', '쿠팡상품번호: 2092522843 - 3554542481']"
턴키 388 스판밴딩바지,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/507032370654410-e6c55b27-29ce-4a9b-a14b-1ee6931ec8b2.jpg,15000,['7XL'],"['색상계열: 네이비계열', '쿠팡상품번호: 4846667464 - 6269062652']"
오지다 여성용 강아지 자수 스판 배기팬츠,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/32c6/39ffd0bb958691a979ecc29945a2fef2bb26cb2c9ab683971461870da0b9.jpg,12000,['XL'],"['팬츠 핏: 배기핏', '소재: 면혼방', '신축성 유무: 매우좋음', '색상계열: 블랙계열', '하의 사이즈: 여성 XL (31~32인치)', '쿠팡상품번호: 1241378777 - 2237070297']"
오키진 여성용 허니스판 부츠컷인 밴딩팬츠,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/245419419109060-4f4aff75-be98-4681-a6d8-9d2a5e9403ec.jpg,19000,['S'],"['하의 사이즈: 여성 S (25~26인치)', '색상계열: 블랙계열', '신축성 유무: 신축성 있음', '소재: 면혼방', '팬츠 핏: 부츠컷핏', '쿠팡상품번호: 289370167 - 916028514']"
캐럿 여성용 스트레치 스키니진,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/410407425749236-9e46b472-2add-4bcb-93e8-e533cdb41575.jpg,15000,['M'],"['디테일: 워싱', '색상계열: 블루계열', '하의 사이즈: 여성 M', '쿠팡상품번호: 1579122124 - 2699939145']"
오키진 여성용 중독 부츠컷 팬츠,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/08/20/4654113517/3bb36f58-882c-4033-b799-e2c8c6d0a4fa.jpg,17000,['L'],"['색상계열: 블루계열', '하의 사이즈: 여성 L (29~30인치)', '쿠팡상품번호: 211129634 - 631895507']"
오키진 여성용 탄력스판 밴딩 일자팬츠,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/xnm7taq1/4ef75159423144c4a2c91c888e6bdbe5.jpg,27000,['XL'],"['색상계열: 블랙계열', '하의 사이즈: 여성 XL', '쿠팡상품번호: 4923309659 - 6454735805']"
업클라스 여성용 컴포터블 히든밴딩 일자 스판바지 LA051,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/01/31/16/4/bc2f0fa1-a7bb-4019-b6e8-b3992a8c2ba3.jpg,17000,['30'],"['색상계열: 화이트계열', '하의 사이즈: 여성 29~30인치', '쿠팡상품번호: 1230393055 - 2223566846']"
캐럿 여성용 일자핏 롱 밴딩 팬츠,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/97814855872141-bd64054e-31a8-4185-87b8-a92835ee7549.jpg,8000,['S-M'],"['색상계열: 블랙계열', '하의 사이즈: 여성 S', '쿠팡상품번호: 4604685835 - 5683818157']"
진마니아 여성용 허리스판 스모그 부츠컷진 WJM-803,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/03/02/10/3/e260ec39-8eb5-437f-a647-7ca8545f7ca0.jpg,19000,['L'],"['색상계열: 화이트계열', '하의 사이즈: 여성 L', '쿠팡상품번호: 1322002235 - 2343338292']"
잘빠진 여성용 심플 밑단컷팅 일자 코튼 팬츠,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/259648247103964-6d1e3681-9ecb-4af1-a336-39671b75f4c9.jpg,18000,['S'],"['색상계열: 블랙계열', '하의 사이즈: 여성 S (25~26인치)', '쿠팡상품번호: 337010678 - 380284052']"
진마니아 여성용 허리스판 베이직 일자 청바지 WBC-512,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/16/10/1/670de7af-561d-44e9-a8b5-27c097a347a7.jpg,14000,['M'],"['색상계열: 블랙계열', '하의 사이즈: 여성 M (27~28인치)', '쿠팡상품번호: 1711609692 - 2913023773']"
캐럿 여성용 배기핏 밴딩 팬츠,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/97853913855241-563d13f4-56a0-4941-b2bd-7928b0de1dfa.jpg,8000,['S-M'],"['색상계열: 블랙계열', '하의 사이즈: 여성 S', '쿠팡상품번호: 4604685914 - 5683818528']"
부산사라 여성용 세상편한 사방스판 밴딩 배기팬츠 9부,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f159/8130233dad95a9a7c6fa05aeea970971a3d4f2e50dd8551ca147864fe58a.png,17000,['ONE'],"['제조년도: 20년', '사용계절: 가을/겨울용', '팬츠 핏: 배기핏', '소재: 면/스판', '신축성 유무: 신축성 있음', '쿠팡상품번호: 2301042410 - 5115177338']"
요즘에 [당일배송/일주일반짝할인] 여성 슬림 일자핏 스판 면 팬츠 기장선택 빅사이즈 S~2XL,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3b27/8c2bb606a5ad510a11df75ec3b9ee65d313783e2b97a2b4b5ef711510ea7.jpg,14000,['XL'],"['색상계열: 베이지계열', '하의 사이즈: 여성 XL (31~32인치)', '쿠팡상품번호: 4870024568 - 6326513048']"
캐럿 여성 밴딩 와이드 플리츠 팬츠,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/23693620788242-e76433d5-569c-4884-84da-18fd10d5e15a.jpg,8000,['ONE'],"['색상계열: 블랙계열', '하의 사이즈: 여성 FREE (one size)', '쿠팡상품번호: 1740777148 - 2963668125']"
요즘에 [판매1위] 당일배송 기장추가 여성용 엄청 편한 중독 부츠컷 스판 밴딩팬츠,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3d48/736beacdb13214e1c09accd7e6fb6994cddb60f39f6169dd0379ed00e971.jpg,11000,['S'],"['팬츠 핏: 부츠컷핏', '소재: 폴리에스터/나일론', '신축성 유무: 신축성 있음', '색상계열: 블랙계열', '하의 사이즈: 여성 S (25~26인치)', '쿠팡상품번호: 282747401 - 897541592']"
엠아이유 세상편한 여성용 허리 밴딩팬츠 ~3XL 빅사이즈 키작녀 키큰녀 슬랙스 정장바지 오피스룩 프리밴딩팬츠,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f884/d5c036635dc553e4e78e9738db990311be3fb4a5d61a9aadf1a9a9f5a27f.jpg,29000,['S(55)'],"['사용계절: 봄/여름/가을', '팬츠 핏: 스트레이트/일자핏', '소재: 폴리에스터/나일론', '신축성 유무: 신축성 있음', '색상계열: 블랙계열', '쿠팡상품번호: 1833095812 - 3117561305']"
캐럿 여성용 니트 스웨터 와이드 밴딩 팬츠,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/707937067816977-36444680-5b80-4e1a-b34b-c76d27769c99.jpg,22000,['ONE'],"['색상계열: 브라운계열', '쿠팡상품번호: 2250704590 - 3847479625']"
잘빠진 여성용 빅사이즈 매직스판 밴딩 슬랙스 1701,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9444101550494-3b5cc676-0016-45a6-a317-68be88c5b45d.jpg,9000,['XXL'],"['하의 사이즈: 여성 XXL (33~34인치)', '색상계열: 네이비계열', '신축성 유무: 신축성 있음', '소재: 폴리에스터/나일론', '팬츠 핏: 슬림핏', '쿠팡상품번호: 252285323 - 797048602']"
캐럿 여성용 융털 기모 팬츠,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/99595467308088-787e622f-5044-4500-8f1f-5d2611de8075.jpg,8000,['S-M'],"['소재: 폴리에스터/나일론', '색상계열: 블랙계열', '하의 사이즈: 여성 S', '쿠팡상품번호: 2123426195 - 3603294621']"
오지다 여성용 징포인트 스판 면 팬츠,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f626/0c6990ec35dc39ffd44547a69137b4847db26876ae9831e5706aa6026909.jpg,10000,['XL'],"['신축성 유무: 신축성 좋음', '색상계열: 블랙계열', '하의 사이즈: 여성 XL (31~32인치)', '팬츠 핏: 스키니핏', '소재: 스판덱스4%, 나일론21%, 면75%', '쿠팡상품번호: 1248959498 - 2247347762']"
엔비룩 여성용 세상편한 슬림 슬랙스,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/09/23/10/8/2d49575f-68e4-4ac7-b219-e32bd68a2bb0.jpg,16000,['M'],"['하의 사이즈: 여성 M', '색상계열: 블랙계열', '팬츠 핏: 스트레이트/일자핏', '쿠팡상품번호: 306187750 - 965403989']"
달리샵 더모찌슬랙스 ~2XL까지! 키작녀 키큰녀 버전 부츠컷 스판 허리밴딩 빅사이즈 여성의류,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e4d9/fffd774ffb73211e8a9592e4fcf9051b6f6dd40f1305396119adb2ebdb95.jpg,28000,['L'],['쿠팡상품번호: 4923151163 - 6454293348']
캐럿 여성 스트레이트핏 스판 슬랙스,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/269060132673844-69c910ac-7490-45c0-ba1b-443a2400f2d7.jpg,17000,['S(44)'],"['색상계열: 블랙계열', '하의 사이즈: 여성 S', '쿠팡상품번호: 1592154641 - 2720454978']"
오키진 여성용 스판폭발 부츠컷 청바지,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/98720847115750-5f70bc6e-b313-448e-9c94-071dfa2ddfa0.jpg,19000,['L'],"['하의 사이즈: 여성 L (29~30인치)', '색상계열: 블루계열', '팬츠 핏: 부츠컷핏', '신축성 유무: 신축성 있음', '디테일: 워싱', '쿠팡상품번호: 243079487 - 771714526']"
캐럿 여성 와이드 밴딩 팬츠,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/86815902988186-18c5ec56-8775-4476-ae6f-d1bae7e2dcc5.jpg,9000,['ONE'],"['하의 사이즈: 여성 FREE (one size)', '색상계열: 블랙계열', '소재: 폴리에스터/나일론', '팬츠 핏: 와이드핏', '쿠팡상품번호: 1583623796 - 2707042726']"
여성용 너무 편한 스판 밴딩 와이드 쿨팬츠,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3ecc/f143323d70943fdeacbe496319e845a1f40cc71bc664abc2b22e734d302a.jpg,8000,['S-M'],"['색상계열: 블랙계열', '하의 사이즈: 여성 S (25~26인치)', '사용계절: 여름용', '쿠팡상품번호: 1516042831 - 2601910581']"
메리바움 [1+1특가] 108645 소프트 코튼 배기 밴딩 팬츠 여성 배기 바지,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/78b8/819fd3d445a319deeee6b60a684210dcc5d2c1241369aa770dc85e7895fc.jpg,29000,['ONE'],"['색상계열: 멀티(혼합)컬러', '하의 사이즈: 여성 FREE (one size)', '쿠팡상품번호: 5196039186 - 7227678044']"
가비진 여성용 롱기장 부츠컷 밴딩팬츠,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/242672869945582-4616fb5c-66b2-4b2e-b492-b31c587a7d11.jpg,12000,['L-XL(77~88)'],"['하의 사이즈: 여성 L-XL', '색상계열: 블랙계열', '신축성 유무: 신축성 없음', '소재: 기타 합성 섬유', '팬츠 핏: 부츠컷핏', '쿠팡상품번호: 1715911222 - 2920650174']"
캐럿 여성용 데일리 크롭 밴딩 팬츠,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/353521534173283-bc8480d9-5746-4bd4-9314-8a72987e773b.jpg,12000,['77'],"['소재: 폴리에스터/나일론', '쿠팡상품번호: 2118784688 - 3597263513']"
여성 데미지 스판 밴딩 배기팬츠 5XL 빅사이즈 청바지 데님,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0a0c/f9db70b71b681fee05eff2fcfe57fd4d82ad2f1f5b7723c7aa729db7529d.png,19000,['XL'],"['색상계열: 블루계열', '쿠팡상품번호: 289203462 - 915571564']"
잘빠진 여성용 롱기장 밴드 일자 팬츠,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/249880054530343-806c857d-ebd4-4b21-b02c-8baba8b31caf.jpg,10000,['F(44-66)'],"['신축성 유무: 신축성 있음', '팬츠 핏: 스트레이트/일자핏', '소재: 면혼방', '색상계열: 블랙계열', '하의 사이즈: 여성 S (25~26인치)', '쿠팡상품번호: 191693869 - 548186579']"
